
 902861709=1000169|2859341070930|FAIL|IN|INR|902861709^iibfexam^801700265^101202109|902861709|944|Transaction Failed|sbiepay|NA|2021-08-09 13:27:26|DC|10001692021080900066|1000169|0.00^0.00||||||||||

 902861711=1000169|5817581800314|BOOKED|IN|INR|902861711^iibfexam^902861711^101202109|902861711|944|Transaction Booked|PUNB|NA|2021-08-09 13:32:31|NB|10001692021080900071|1000169|2.00^0.36||||||||||

 902861712=1000169|4124919414222|BOOKED|IN|INR|902861712^iibfexam^801587869^101202109|902861712|472|Transaction Booked|sbiepay|NA|2021-08-09 13:34:05|DC|10001692021080900073|1000169|0.00^0.00||||||||||

 902861718=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861722=1000169|NA|No Records Found|NA|NA|NA|902861722|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861711=1000169|5817581800314|BOOKED|IN|INR|902861711^iibfexam^902861711^101202109|902861711|944|Transaction Booked|PUNB|NA|2021-08-09 13:32:31|NB|10001692021080900071|1000169|2.00^0.36||||||||||

 902861712=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861718=1000169|NA|No Records Found|NA|NA|NA|902861718|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861722=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861723=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861711=1000169|5817581800314|FAIL|IN|INR|902861711^iibfexam^902861711^101202109|902861711|944|Transaction Failed|PUNB|NA|2021-08-09 13:32:31|NB|10001692021080900071|1000169|2.00^0.36||||||||||

 902861712=1000169|4124919414222|FAIL|IN|INR|902861712^iibfexam^801587869^101202109|902861712|472|Transaction Failed|sbiepay|NA|2021-08-09 13:34:05|DC|10001692021080900073|1000169|0.00^0.00||||||||||

 902861718=1000169|NA|No Records Found|NA|NA|NA|902861718|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861722=1000169|NA|No Records Found|NA|NA|NA|902861722|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861723=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861718=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861722=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861723=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861724=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861725=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861726=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861727=1000169|NA|No Records Found|NA|NA|NA|902861727|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861728=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861729=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861718=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861722=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861723=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861724=1000169|NA|No Records Found|NA|NA|NA|902861724|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861725=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861726=1000169|NA|No Records Found|NA|NA|NA|902861726|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861727=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861728=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861729=1000169|NA|No Records Found|NA|NA|NA|902861729|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902861718=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

 902861722=<html><head><title>Error</title></head><body>404 - Not Found</body></html>

