
 902855380=1000169|6604398270719|BOOKED|IN|INR|902855380^iibfexam^iibfdupcer^801203900|902855380|236|Transaction Booked|SBIN|NA|2021-07-01 13:50:39|UPI|10001692021070100020|1000169|0.00^0.00||||||||||

 902855383=1000169|NA|No Records Found|NA|NA|NA|902855383|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812253807=1000169|NA|No Records Found|NA|NA|NA|812253807|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855385=1000169|NA|No Records Found|NA|NA|NA|902855385|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855386=1000169|NA|No Records Found|NA|NA|NA|902855386|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 33063=1000169|NA|No Records Found|NA|NA|NA|33063|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855376=1000169|NA|No Records Found|NA|NA|NA|902855376|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855380=1000169|6604398270719|BOOKED|IN|INR|902855380^iibfexam^iibfdupcer^801203900|902855380|236|Transaction Booked|SBIN|NA|2021-07-01 13:50:39|UPI|10001692021070100020|1000169|0.00^0.00||||||||||

 902855383=1000169|NA|No Records Found|NA|NA|NA|902855383|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 812253807=1000169|NA|No Records Found|NA|NA|NA|812253807|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855385=1000169|NA|No Records Found|NA|NA|NA|902855385|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855386=1000169|NA|No Records Found|NA|NA|NA|902855386|NA|No Records Found|NA|NA|NA|NA|NA|1000169|0.00^0.00||||||||||

 902855389=1000169|0650395071635|BOOKED|IN|INR|902855389^iibfexam^iibfdupcer^801051098|902855389|236|Transaction Booked|SBIN|NA|2021-07-01 14:19:10|UPI|10001692021070100021|1000169|0.00^0.00||||||||||

